source,target,value
Limerick,A Young Lady of Lynn by Anonymous//171641
Assonance,We Real Cool by Gwendolyn Brooks//17315
Assonance,Trapped by Adelaide Crapsey//175527
Assonance,The Properly Scholarly Attitude by Adelaide Crapsey//175533
Assonance,Tone Deficit by Kevin McFadden//178548
Assonance,Tree Ferns by Stanley Plumly//179861
Assonance,Davy Jones' Door-Bell by Vachel Lindsay//191699
Assonance,We Real Cool by Gwendolyn Brooks//203522
Relationships,Virginity by Anna Swir//178370
Relationships,Song After Campion by Robert Fitzgerald//178373
Relationships,Et Quidquid Aspiciebam Mors Erat by Robert Fitzgerald//178377
Relationships,Leap In The Dark by Roberta Hill//178382
Relationships,In The Longhouse, Oneida Museum by Roberta Hill//178383
Relationships,Reaching Yellow River by Roberta Hill//178385
Relationships,Horses in Snow by Roberta Hill//178386
Relationships,Philadelphia Flowers by Roberta Hill//178389
Relationships,Morning Talk by Roberta Hill//178392
Relationships,Sonnets of the Blood (I-IX) by Allen Tate//178393
Relationships,To One Unknown by Helen Dudley//1784
Relationships,Tea Party by Joanie Mackowski//178405
Relationships,The Paris Mouse by Sandra M. Gilbert//178429
Relationships,[O my Lord] by Rabi'a//178447
Relationships,Bungee Jumping by William H. Dickey//178459
Relationships,Memorial Day by Michael Anania//178467
Relationships,Tracings by Michael Anania//178468
Relationships,Four Postulates by Michael Anania//178469
Relationships,Motet by Michael Anania//178470
Relationships,Waiting There by Michael Anania//178471
Relationships,The Finality of a Poem by Michael Anania//178472
Relationships,To Alexander Graham by W. S. Graham//178486
Relationships,Goose by Richard Emil Braun//178494
Relationships,In the Grand Manner by Richard Emil Braun//178495
Relationships,Why the Pretty One by Richard Emil Braun//178497
Relationships,Man with a Black Dog by Richard Emil Braun//178499
Relationships,August Morning by Albert Garcia//178510
Relationships,from The Exeter Book:  Gnomic Verses by Anonymous//178511
Relationships,My Father Teaches Me to Dream by Jan Beatty//178518
Relationships,The Enigma by Anne Stevenson//178531
Relationships,corydon & alexis by D. A. Powell//178535
Relationships,corydon & alexis, redux by D. A. Powell//178536
Relationships,crossing into canaan by D. A. Powell//178537
Relationships,Post-Romantic by Paisley Rekdal//178542
Relationships,Cuckoldom by BJ Ward//178557
Relationships,Love Worn by Lita Hooper//178593
Relationships,Reunion by Jeff Daniel Marion//178607
Relationships,Early in the Morning by Li-Young Lee//178625
Relationships,After the Phone Call by Robert VanderMolen//178664
Relationships,Early Cascade by Lucia Perillo//178670
Relationships,Recycling by Landis Everson//178673
Relationships,Valentine, Valentine by Landis Everson//178675
Relationships,Radio by Gottfried Benn//178681
Relationships,For Love by Robert Creeley//17869
Relationships,Faint Music by Robert Hass//178697
Relationships,Out of the Cradle Endlessly Rocking by Walt Whitman//178710
Relationships,Under Stars by Tess Gallagher//178715
Relationships,Talking among Ourselves by Charlie Smith//178724
Relationships,Rider by Charlie Smith//178725
Relationships,Liar by Charlie Smith//178726
Relationships,Fortune by Charlie Smith//178730
Relationships,Clean by Jeff Vande Zande//178734
Relationships,from The Theatre of  Illusion by Pierre Corneille//178743
Relationships,Green Tea by Dale Ritterbusch//178771
Relationships,Sonnet:  I Thank You by Henry Timrod//178776
Relationships,Our Sun by George Seferis//181861
Relationships,The Carpenter by Primus St. John//181872
Relationships,Grand Illusion by Norman Dubie//181874
Relationships,After That by Primus St. John//181878
Relationships,A Fifteenth-Century Zen Master by Norman Dubie//181895
Relationships,Sophia Nichols, by Robin Blaser//237136
Relationships,The Truth Is Laughter 10 by Robin Blaser//237140
Relationships,Robert Duncan by Robin Blaser//237150
Relationships,Sorrow Home by Margaret Walker//237160
Relationships,Love Song for Alex, 1979 by Margaret Walker//237166
Relationships,The Magnets by Ray Gonzalez//237170
Relationships,Railroad Face by Ray Gonzalez//237180
Relationships,Adult by Ray Gonzalez//237182
Relationships,My Life had stood - a Loaded Gun (764) by Emily Dickinson//237186
Relationships,Walter Llywarch by R. S. Thomas//237188
Relationships,Acting by R. S. Thomas//237192
Relationships,On the Farm by R. S. Thomas//237196
Relationships,The Fair by R. S. Thomas//237200
Relationships,Forest Dwellers by R. S. Thomas//237206
Relationships,Sidewalk Games by Colleen J. McElroy//237218
Relationships,Out Here Even Crows Commit Suicide by Colleen J. McElroy//237220
Relationships,You! Inez! by Alice Moore Dunbar-Nelson//237232
Relationships,I the People by Alice Notley//237236
Relationships,Bread by Kamau Brathwaite//237238
Relationships,From Space to Time by Carolyn M. Rodgers//237254
Relationships,Dirge Without Music by Edna St. Vincent Millay//237262
Relationships,Eagle Plain by Robert Francis//237272
Relationships,From the Plane by Anne Marie Macari//237276
Relationships,Occurrence on Washburn Avenue by Regan Huff//237278
Relationships,On Our Eleventh Anniversary by Susan Browne//237282
Relationships,Walking to School, 1964 by David Wojahn//237284
Relationships,Spinning by Kevin Griffith//237290
Relationships,Hurry by Marie Howe//237292
Relationships,Photo, Brownie Troop, St. Louis, 1949 by Margaret Kaufman//237304
Relationships,Green-Striped Melons by Jane Hirshfield//237308
Relationships,Hanging in Egypt with Breyten Breytenbach by Chris Abani//237320
Relationships,Jubilate Agno, 1975 by David Lee//237324
Relationships,The Chain Letter (An American Tragedy) by David Lee//237326
Relationships,The Farm by David Lee//237328
Relationships,Fence Repair by David Lee//237330
Relationships,Dear Gonglya, by Brenda Shaughnessy//237332
Relationships,Postfeminism by Brenda Shaughnessy//237334
Relationships,Project for a Fainting by Brenda Shaughnessy//237336
Relationships,You Love, You Wonder by Brenda Shaughnessy//237338
Relationships,The Three-Legged Dog at the Heart of Our Home by Linda Gregerson//23734
Relationships,Epithalament by Brenda Shaughnessy//237340
Relationships,Cautionary Tales by Mark Vinz//237344
Relationships,Ice Bound by Walter Bargen//237346
Relationships,The Local Language by Ralph Angel//237352
Relationships,Alpine Wedding by Ralph Angel//237354
Relationships,After the Winter by Claude McKay//237358
Relationships,The American Soldier by Philip Freneau//237364
Relationships,Memorandum by W. S. Merwin//237366
Relationships,Night Singing by W. S. Merwin//237368
Relationships,Vixen by W. S. Merwin//237370
Relationships,Snowflake by William Baer//237372
Relationships,In the Middle of Dinner by Chris Abani//237396
Relationships,Dog Woman by Chris Abani//237398
Relationships,Tuesdays by Kate Gale//237412
Relationships,The Way I Learned to Write by Kate Gale//237418
Relationships,Sheep by Judy Grahn//237424
Relationships,Slowly: a plainsong from an older woman to a younger woman by Judy Grahn//237426
Relationships,Paris and Helen by Judy Grahn//237428
Relationships,Changing What We Mean by Eloise Klein Healy//237434
Relationships,The Beach at Sunset by Eloise Klein Healy//237436
Relationships,Living Here Now by Eloise Klein Healy//237438
Relationships,Asking About You by Eloise Klein Healy//237440
Relationships,Domestic Situation by Ernest Hilbert//237444
Relationships,Anniversary by Dan Beachy-Quick//237454
Relationships,Psalm by Samuel Menashe//237458
Relationships,Semblance: Screens by Liz Waldner//237468
Relationships,Swerve by Kelle Groom//237474
Relationships,Abstracts by David Harsent//237476
Relationships,To the Quarry and Back by Katia Kapovich//237478
Relationships,The Order In Which Things Are Broken by Desiree Alvarez//237486
Relationships,Half-Ourselves & Half-Not by Colin Cheney//237488
Relationships,[Record no oiled tongue, diary] by Dan Beachy-Quick//237530
Relationships,[morning green through ivy] by Dan Beachy-Quick//237534
Relationships,Crying in Front of a Man by Kate Gale//237536
